INCIDENCE_CITY_ID,NPA,GNR,EXP,TEXT_FR
8305999,999999,8305,8305,Angola
8309999,999999,8309,8309,Bénin
8310999,999999,8310,8310,Côte d'Ivoire
8311999,999999,8311,8311,Gabon
8313999,999999,8313,8313,Ghana
8315999,999999,8315,8315,Guinée
8317999,999999,8317,8317,Cameroun
8319999,999999,8319,8319,Cap-Vert
8320999,999999,8320,8320,Kenya
8321999,999999,8321,8321,Comores
8322999,999999,8322,8322,Congo
8323999,999999,8323,8323,Congo république démocratique  ex. Zaïre
8325999,999999,8325,8325,Libéria
8326999,999999,8326,8326,Libye
8327999,999999,8327,8327,Madagascar
8329999,999999,8329,8329,Malawi
8330999,999999,8330,8330,Mali
8331999,999999,8331,8331,Maroc
8332999,999999,8332,8332,Mauritanie
8333999,999999,8333,8333,Ile Maurice
8335999,999999,8335,8335,Niger
8336999,999999,8336,8336,Nigéria
8337999,999999,8337,8337,Burkina Faso
8340999,999999,8340,8340,Zimbabwe
8341999,999999,8341,8341,Rwanda
8343999,999999,8343,8343,Zambie
8345999,999999,8345,8345,Sénégal
8348999,999999,8348,8348,Somalie
8349999,999999,8349,8349,Afrique du Sud
8350999,999999,8350,8350,Soudan
8353999,999999,8353,8353,Tanzanie et Zanzibar
8354999,999999,8354,8354,Togo
8356999,999999,8356,8356,Tchad
8357999,999999,8357,8357,Tunisie
8358999,999999,8358,8358,Ouganda
8359999,999999,8359,8359,Egypte
8362999,999999,8362,8362,Érythrée
8399999,999999,8399,8399,Autres pays d'Afrique
8400999,999999,8400,8400,Amérique SAI
8401999,999999,8401,8401,Argentine
8402999,999999,8402,8402,Bahamas
8405999,999999,8405,8405,Bolivie
8406999,999999,8406,8406,Brésil
8407999,999999,8407,8407,"Chili, Ile de Pàques, Sala y Gomez"
8408999,999999,8408,8408,Costa Rica
8409999,999999,8409,8409,République dominicaine
8410999,999999,8410,8410,Equateur
8414999,999999,8414,8414,Guadeloupe
8415999,999999,8415,8415,Guatemala
8418999,999999,8418,8418,Haïti
8423999,999999,8423,8423,Canada
8424999,999999,8424,8424,Colombie
8425999,999999,8425,8425,Cuba
8426999,999999,8426,8426,Martinique
8427999,999999,8427,8427,Mexique
8429999,999999,8429,8429,Nicaragua
8430999,999999,8430,8430,Panama
8431999,999999,8431,8431,Paraguay
8432999,999999,8432,8432,Pérou
8437999,999999,8437,8437,Uruguay
8438999,999999,8438,8438,Venezuela
8439999,999999,8439,8439,Etats-Unis
8440999,999999,8440,8440,Dominique
8443999,999999,8443,8443,Sainte-Lucie
8481999,999999,8481,8481,Antilles NL
8502999,999999,8502,8502,Bahreïn
8506999,999999,8506,8506,Sri Lanka
8509999,999999,8509,8509,Hong Kong
8510999,999999,8510,8510,Inde
8511999,999999,8511,8511,Indonésie
8512999,999999,8512,8512,Irak
8513999,999999,8513,8513,Iran
8514999,999999,8514,8514,Israël
8515999,999999,8515,8515,Japon
8517999,999999,8517,8517,Jordanie
8519999,999999,8519,8519,Qatar
8521999,999999,8521,8521,Koweït
8523999,999999,8523,8523,Liban
8525999,999999,8525,8525,Malaisie
8526999,999999,8526,8526,Maldives
8527999,999999,8527,8527,Oman
8528999,999999,8528,8528,Mongolie
8529999,999999,8529,8529,Népal
8532999,999999,8532,8532,Emirats arabes unis
8533999,999999,8533,8533,Pakistan
8534999,999999,8534,8534,Philippines
8535999,999999,8535,8535,Arabie saoudite
8537999,999999,8537,8537,Singapour
8541999,999999,8541,8541,Syrie
8542999,999999,8542,8542,Thaïlande
8545999,999999,8545,8545,Vietnam
8546999,999999,8546,8546,Bangladesh
8560999,999999,8560,8560,Arménie
8561999,999999,8561,8561,Azerbaïdjan
8562999,999999,8562,8562,Géorgie
8563999,999999,8563,8563,Kazakhstan
8564999,999999,8564,8564,Kirghizistan
8601999,999999,8601,8601,Australie
8607999,999999,8607,8607,Nouvelle-Zélande
8999999,999999,8999,8999,Etat inconnu ou non indiqué
